sector,company_count,combined_revenue,avg_net_margin_pct
Health Care,58,3749954651344.5474,12.956766086396756
Information Technology,64,2553068008724.556,22.236903463988916
Consumer Staples,32,2215040068348.6475,10.364160726975014
Consumer Discretionary,43,2200564044397.52,12.559278542161465
Communication Services,18,1948587041155.779,17.577428232177137
Financials,66,1904137785825.1172,22.741366716608646
Industrials,76,1795930634791.564,12.776291901871522
Energy,19,1350041433635.5364,13.943572478230163
Utilities,31,497364178728.01587,14.623757689100964
Materials,24,467945987562.8994,11.242724642889529
Real Estate,29,181498903432.08426,24.269107930702734
