symbol,name,sector,revenue,net_income,net_margin,market_cap,dividend_yield_pct,margin_tier,revenue_tier
AMZN,Amazon,Consumer Discretionary,775680049817.3859,134181730009.90814,17.298592382451737,2722465316864.0,0.0,10-20%,$100B+
WMT,Walmart,Consumer Staples,735839992269.4313,21964298156.143757,2.9849285696477104,842203529216.0,0.9299999999999999,0-10%,$100B+
AAPL,Apple Inc.,Information Technology,466822996346.87244,127407193870.89433,27.292398803812254,4602128760832.0,0.33999999999999997,20-30%,$100B+
UNH,UnitedHealth Group,Health Care,450526012413.68,13957600171.221699,3.0980675447449224,352808632320.0,2.32,0-10%,$100B+
GOOG,Alphabet Inc. (Class C),Communication Services,445865981302.02594,243620314364.99008,54.63980760621512,4016066265088.0,0.26,30%+,$100B+
GOOGL,Alphabet Inc. (Class A),Communication Services,445865975953.9667,243742594148.59058,54.667233494792555,4043827838976.0,0.26,30%+,$100B+
CVS,CVS Health,Health Care,412644985142.15796,4847297376.440259,1.1746895154367,121988186112.0,2.77,0-10%,$100B+
MCK,McKesson Corporation,Health Care,410982995824.91364,4342990967.1001625,1.0567325196467148,103961288704.0,0.42,0-10%,$100B+
XOM,ExxonMobil,Energy,361060022946.82513,31990675485.48497,8.860209785727614,675299262464.0,2.56,0-10%,$100B+
COR,Cencora,Health Care,332771312288.46234,2570441929.1446013,0.7724349528412526,61698240512.0,0.74,0-10%,$100B+
MSFT,Microsoft,Information Technology,331839013964.1151,133140034838.86868,40.12187513710078,3650769387520.0,0.74,30%+,$100B+
NVDA,Nvidia,Information Technology,302970010591.74567,190761288588.87076,62.963752820381615,5400959123456.0,0.44,30%+,$100B+
COST,Costco,Consumer Staples,293586990015.00195,8798619581.197062,2.996937834591193,400283959296.0,0.65,0-10%,$100B+
CI,Cigna,Health Care,282381985830.9153,6391977373.388826,2.263592471941966,73503776768.0,2.26,0-10%,$100B+
CAH,Cardinal Health,Health Care,254247995574.79236,1683848124.3605044,0.6622857028051438,55818174464.0,0.86,0-10%,$100B+
META,Meta Platforms,Communication Services,228246992306.00854,67661765482.295456,29.644099490074325,1665279328256.0,0.33999999999999997,20-30%,$100B+
CVX,Chevron Corporation,Energy,209383989781.27655,20381059571.085075,9.733819473196219,419410411520.0,3.39,0-10%,$100B+
ELV,Elevance Health,Health Care,201114000801.8819,4907752092.890076,2.4402836566931607,86075424768.0,1.71,0-10%,$100B+
JPM,JPMorgan Chase,Financials,186327994738.70593,62015485555.30906,33.282967297681424,942885240832.0,1.7000000000000002,30%+,$100B+
GM,General Motors,Consumer Discretionary,185527981912.72183,2025971524.1336067,1.0920032133409865,75756863488.0,0.84,0-10%,$100B+
HD,Home Depot (The),Consumer Discretionary,169176002238.10886,14266960793.127857,8.433206012899895,309732737024.0,2.97,0-10%,$100B+
MPC,Marathon Petroleum,Energy,154146001416.23538,8098986412.334024,5.25410087704098,112172646400.0,1.01,0-10%,$100B+
PSX,Phillips 66,Energy,152166998144.6995,7024381426.75739,4.616231845539679,104555831296.0,1.96,0-10%,$100B+
DELL,Dell Technologies,Information Technology,151197003416.78375,10929621089.054314,7.22872864016104,340318781440.0,0.47000000000000003,0-10%,$100B+
KR,Kroger,Consumer Staples,148645000971.32626,1047626878.2429101,0.7047844672859185,34577813504.0,2.52,0-10%,$100B+
HUM,Humana,Health Care,145679008905.81192,1268048015.1887453,0.8704397597931187,48034521088.0,0.88,0-10%,$100B+
VZ,Verizon,Communication Services,138895008262.44986,15954336846.873875,11.486616435291372,206658535424.0,5.609999999999999,10-20%,$100B+
VLO,Valero Energy,Energy,132430001879.02864,6901621218.6779995,5.211523915088705,111989391360.0,1.25,0-10%,$100B+
T,AT&T,Communication Services,127238995548.93306,20762728236.58818,16.31789699927593,172337496064.0,4.34,10-20%,$100B+
CMCSA,Comcast,Communication Services,124903995909.67621,11071746369.869373,8.86420509546857,87260979200.0,5.01,0-10%,$100B+
BAC,Bank of America,Financials,113931001579.25412,30278599900.051414,26.576260614182903,438235529216.0,2.0500000000000003,20-30%,$100B+
TGT,Target Corporation,Consumer Staples,107704998113.67912,4374877365.087388,4.0619074710626215,71560822784.0,2.85,0-10%,$100B+
TSLA,"Tesla, Inc.",Consumer Discretionary,103619006475.92473,4226015900.396701,4.078417699728274,1452683034624.0,0.0,0-10%,$100B+
DIS,Walt Disney Company (The),Communication Services,98860996766.52007,8374431340.775432,8.470915340408027,179886243840.0,1.43,0-10%,$50-100B
JNJ,Johnson & Johnson,Health Care,97929000896.25325,20749225215.6167,21.188029108556506,643635675136.0,1.9900000000000002,20-30%,$50-100B
PEP,PepsiCo,Consumer Staples,96904001686.07642,10422579735.983805,10.755572065793611,186718535680.0,4.279999999999999,10-20%,$50-100B
FDX,FedEx,Industrials,94719993041.24603,4394969861.87305,4.6399600768121365,73176129536.0,1.55,0-10%,$50-100B
BA,Boeing,Industrials,93995001127.20358,2197228694.792584,2.337601647367471,163148185600.0,0.0,0-10%,$50-100B
RTX,RTX Corporation,Industrials,93499999704.31131,7668744150.194348,8.201865427215333,266249617408.0,1.47,0-10%,$50-100B
TMUS,T-Mobile US,Communication Services,92189001188.3,10254741571.347425,11.123606329568181,190227578880.0,2.25,10-20%,$50-100B
BG,Bunge Global,Consumer Staples,91819006669.31364,893353880.5849888,0.97295093139311,23726710784.0,2.32,0-10%,$50-100B
PGR,Progressive Corporation,Financials,91019002981.60927,11575512759.938671,12.717687934109263,125227057152.0,0.19,10-20%,$50-100B
LOW,Lowe's,Consumer Discretionary,90431995584.93521,6637269049.933082,7.339514081273645,111425331200.0,2.4899999999999998,0-10%,$50-100B
MU,Micron Technology,Information Technology,90273993680.42789,49930472459.782265,55.30991864228068,1160756461568.0,0.05,30%+,$50-100B
UPS,United Parcel Service,Industrials,89929997640.27701,4577204812.893174,5.089741947066591,84414545920.0,6.529999999999999,0-10%,$50-100B
AVGO,Broadcom,Information Technology,89103992685.6861,37347006487.82952,41.913953979111696,1733567184896.0,0.7100000000000001,30%+,$50-100B
PG,Procter & Gamble,Consumer Staples,87031999853.94229,15376091143.628712,17.66716974151229,331305975808.0,2.9899999999999998,10-20%,$50-100B
SYY,Sysco,Consumer Staples,84552996442.83339,1753491527.6626377,2.073837239876153,39079862272.0,2.76,0-10%,$50-100B
