symbol,name,sector,dividend_yield_pct,revenue
CAG,Conagra Brands,,8.03,11281600688.061071
VICI,Vici Properties,Real Estate,7.28,4097604118.6600657
UPS,United Parcel Service,Industrials,6.529999999999999,89929997640.27701
MO,Altria,Consumer Staples,6.510000000000001,20444000024.527264
GIS,General Mills,Consumer Staples,6.47,18424600153.329216
KHC,Kraft Heinz,Consumer Staples,6.43,24899999791.811184
PFE,Pfizer,Health Care,6.1899999999999995,63695999392.39424
DOC,Healthpeak Properties,Real Estate,5.949999999999999,2949806101.2238154
EIX,Edison International,Utilities,5.92,19423001609.641468
AMCR,Amcor,Materials,5.86,23506001101.215523
