symbol,name,sector,net_margin,revenue,net_income
SPG,Simon Property Group,Real Estate,77.50293317555789,6940724292.100009,5379264910.005982
WDC,Western Digital,Information Technology,75.1278069297624,12919000449.872301,9705761715.235199
VICI,Vici Properties,Real Estate,69.32782605825673,4097604118.6600657,2840779855.9406137
NVDA,Nvidia,Information Technology,62.963752820381615,302970010591.74567,190761288588.87076
CME,CME Group,Financials,62.79280441411927,6757199944.834953,4243035345.231187
MU,Micron Technology,Information Technology,55.30991864228068,90273993680.42789,49930472459.782265
GOOGL,Alphabet Inc. (Class A),Communication Services,54.667233494792555,445865975953.9667,243742594148.59058
GOOG,Alphabet Inc. (Class C),Communication Services,54.63980760621512,445865981302.02594,243620314364.99008
V,Visa Inc.,Financials,49.353707346512614,44487998351.58175,21956476510.761013
VRSN,Verisign,Information Technology,48.69606173689359,1707899953.370708,831680015.6977768
