symbol,name,sector,market_cap,revenue,net_margin
NVDA,Nvidia,Information Technology,5400959123456.0,302970010591.74567,62.963752820381615
AAPL,Apple Inc.,Information Technology,4602128760832.0,466822996346.87244,27.292398803812254
GOOGL,Alphabet Inc. (Class A),Communication Services,4043827838976.0,445865975953.9667,54.667233494792555
GOOG,Alphabet Inc. (Class C),Communication Services,4016066265088.0,445865981302.02594,54.63980760621512
MSFT,Microsoft,Information Technology,3650769387520.0,331839013964.1151,40.12187513710078
AMZN,Amazon,Consumer Discretionary,2722465316864.0,775680049817.3859,17.298592382451737
AVGO,Broadcom,Information Technology,1733567184896.0,89103992685.6861,41.913953979111696
META,Meta Platforms,Communication Services,1665279328256.0,228246992306.00854,29.644099490074325
TSLA,"Tesla, Inc.",Consumer Discretionary,1452683034624.0,103619006475.92473,4.078417699728274
MU,Micron Technology,Information Technology,1160756461568.0,90273993680.42789,55.30991864228068
