symbol,name,sector,revenue,net_income,net_margin
AMZN,Amazon,Consumer Discretionary,775680049817.3859,134181730009.90814,17.298592382451737
WMT,Walmart,Consumer Staples,735839992269.4313,21964298156.143757,2.9849285696477104
AAPL,Apple Inc.,Information Technology,466822996346.87244,127407193870.89433,27.292398803812254
UNH,UnitedHealth Group,Health Care,450526012413.68,13957600171.221699,3.0980675447449224
GOOG,Alphabet Inc. (Class C),Communication Services,445865981302.02594,243620314364.99008,54.63980760621512
GOOGL,Alphabet Inc. (Class A),Communication Services,445865975953.9667,243742594148.59058,54.667233494792555
CVS,CVS Health,Health Care,412644985142.15796,4847297376.440259,1.1746895154367
MCK,McKesson Corporation,Health Care,410982995824.91364,4342990967.1001625,1.0567325196467148
XOM,ExxonMobil,Energy,361060022946.82513,31990675485.48497,8.860209785727614
COR,Cencora,Health Care,332771312288.46234,2570441929.1446013,0.7724349528412526
